"Ndets","Ndays","TRAVEL_CORRIDOR"
0,130,0
0,201,0
0,1,1
0,9,0
0,130,0
0,8,0
0,2,1
1,201,1
0,172,0
0,187,1
0,201,0
0,199,1
0,5,0
0,103,0
0,29,0
0,6,0
0,17,1
0,18,0
0,151,1
0,13,0
0,27,0
0,170,0
0,189,1
0,190,0
1,201,0
0,1,0
0,55,0
0,155,0
0,195,0
0,201,0
0,20,0
0,201,0
0,193,0
0,201,0
0,18,0
0,11,0
0,201,0
0,20,0
0,76,0
0,50,0
0,8,1
0,15,0
3,17,1
1,169,0
5,154,1
0,35,0
0,12,0
0,1,0
0,28,1
0,188,0
0,201,0
0,22,0
0,16,0
1,173,0
0,7,1
0,137,1
0,32,1
0,15,1
0,21,0
0,6,1
0,15,0
1,136,0
1,201,0
0,21,1
0,87,1
0,15,1
0,7,1
0,8,0
1,21,0
0,112,1
0,121,1
14,135,1
1,33,0
0,154,0
0,201,0
0,175,0
0,40,0
0,29,0
0,30,0
0,56,0
0,45,1
0,50,0
0,32,0
1,201,0
0,84,0
0,195,0
0,10,0
0,168,0
1,201,0
0,105,0
0,200,0
0,201,1
0,165,0
0,16,0
0,53,1
0,196,1
0,112,0
0,29,0
0,57,0
0,146,1
1,201,1
6,201,0
0,171,0
0,168,0
0,151,1
0,77,0
0,152,0
6,201,0
0,11,0
3,201,0
0,201,0
0,201,0
0,201,0
2,107,0
0,29,1
0,187,0
0,201,0
0,39,0
1,201,0
0,98,0
2,147,0
0,79,1
1,201,0
2,201,0
0,90,0
0,140,0
0,17,0
0,201,1
0,6,0
1,167,0
0,201,0
1,201,0
0,175,0
0,129,0
0,10,0
0,134,0
0,28,0
0,26,0
0,192,1
1,10,0
4,168,0
0,145,1
2,129,1
0,68,1
1,99,0
10,201,1
0,7,0
0,7,0
0,201,1
2,120,0
0,19,1
1,156,1
0,99,0
0,201,0
1,178,0
5,91,0
0,41,0
1,19,0
0,166,0
0,16,0
0,186,0
0,97,1
2,132,0
0,129,1
0,201,0
0,122,0
2,105,1
0,131,0
0,133,0
1,199,1
0,140,0
0,7,0
0,201,1
0,201,0
2,92,0
0,7,0
0,191,0
0,33,1
1,157,1
0,201,0
0,149,0
0,201,0
0,153,0
0,15,0
0,124,0
0,141,0
0,17,0
0,120,0
0,187,0
0,19,1
0,1,1
0,75,0
0,35,0
3,99,0
2,201,1
0,199,0
3,133,0
0,22,0
0,14,0
1,201,0
0,137,0
0,182,0
0,167,0
0,201,1
0,10,0
0,151,0
4,125,1
0,194,0
1,162,0
1,159,0
0,162,0
1,201,0
11,147,1
0,187,0
0,201,0
3,48,1
0,140,1
4,201,0
0,162,0
3,115,1
0,157,1
0,45,0
0,163,0
6,176,1
1,143,0
4,136,0
0,201,1
2,164,1
0,55,0
1,112,1
7,182,1
0,187,0
0,24,1
0,162,0
1,166,0
1,67,1
0,57,0
0,168,1
0,100,1
0,30,1
1,180,0
1,122,0
0,176,1
2,164,1
0,187,0
1,82,0
0,19,0
1,152,0
0,51,0
0,130,0
0,201,0
0,163,1
0,82,1
0,23,0
0,200,0
2,76,0
0,89,0
0,121,0
0,85,1
1,201,0
1,151,0
0,25,0
0,21,0
1,50,0
0,57,0
0,79,0
0,201,0
1,55,0
0,122,0
0,201,0
0,201,0
0,5,0
0,51,0
0,165,0
0,168,0
0,146,1
0,10,0
0,179,0
0,201,0
0,91,0
0,60,0
0,161,0
0,201,0
0,90,0
0,18,0
0,189,0
4,188,0
1,168,0
0,12,0
0,132,0
2,122,0
0,76,0
2,131,1
0,56,0
0,32,1
2,201,1
0,118,1
2,192,1
0,201,0
0,180,0
0,95,0
0,95,0
0,133,1
0,156,0
2,201,0
0,145,0
0,167,0
1,28,1
0,201,0
1,201,1
0,145,0
0,123,1
0,187,0
0,19,0
2,118,0
0,95,0
0,66,0
0,186,0
0,84,0
0,78,0
1,161,0
1,190,0
3,188,1
0,180,0
1,130,0
0,201,0
0,99,0
4,183,1
0,106,0
0,52,0
0,182,0
0,89,0
0,36,0
0,73,0
0,201,0
1,201,0
0,129,0
0,188,0
0,34,0
0,87,1
3,194,0
1,113,0
0,158,0
2,129,0
2,53,1
3,103,1
0,23,0
0,115,0
1,191,0
0,110,0
1,153,0
0,90,0
0,90,0
0,34,0
0,201,0
0,193,0
1,187,0
0,163,0
0,151,0
1,146,1
7,141,0
0,201,0
0,191,0
0,90,0
1,201,0
3,177,0
0,141,0
1,200,0
0,99,0
2,60,1
0,93,0
0,15,0
0,24,1
1,201,0
0,83,0
2,127,0
0,90,0
0,80,0
1,143,0
0,9,0
0,34,1
0,45,1
0,201,0
0,153,0
0,153,1
3,201,0
0,146,1
0,120,0
0,54,1
2,109,1
0,78,1
1,124,1
0,173,0
0,46,0
1,29,0
0,199,0
0,119,1
1,163,0
0,117,0
0,137,0
1,179,0
0,84,0
0,97,0
2,201,0
3,146,0
0,201,0
0,29,0
0,38,0
0,201,0
3,140,0
1,201,0
0,154,0
2,173,0
1,94,0
2,40,0
0,201,0
0,65,1
0,55,0
0,141,0
0,57,0
0,70,0
0,112,0
2,151,0
0,49,0
0,19,0
3,178,0
6,184,0
0,141,1
0,116,0
0,162,0
1,26,0
0,39,0
0,163,0
0,45,0
0,179,0
0,132,0
0,201,0
0,156,0
0,57,0
0,121,0
0,199,0
0,153,0
0,152,0
0,151,0
0,201,1
0,201,0
0,88,0
1,159,0
0,182,0
0,180,0
0,145,0
1,168,1
0,160,0
4,201,0
0,78,0
0,100,0
2,119,0
3,201,0
0,132,0
0,78,0
2,201,0
0,19,1
0,82,0
0,154,0
0,73,1
0,120,0
0,180,0
0,178,0
0,24,1
6,181,0
2,194,1
0,130,0
1,90,0
0,156,1
0,183,0
0,179,0
0,23,0
0,178,0
0,18,0
0,60,0
0,201,0
0,161,0
1,66,0
0,46,0
1,180,0
0,201,0
0,24,0
1,63,0
0,100,0
5,192,0
0,88,1
0,61,0
0,133,0
0,137,0
0,55,0
0,134,0
7,88,1
0,55,0
0,75,1
0,156,0
0,178,0
0,124,0
0,2,1
0,91,0
0,178,0
2,201,0
0,53,0
0,154,0
1,130,0
1,201,0
0,147,0
0,123,0
0,139,0
1,201,0
0,201,0
0,20,0
0,178,0
1,201,0
1,65,0
0,16,0
0,201,0
0,201,0
1,201,0
0,201,0
0,152,0
0,183,0
1,90,0
0,138,0
0,93,0
0,186,0
0,152,0
4,137,0
0,122,0
0,195,0
0,26,0
0,88,0
0,162,1
1,134,0
5,140,0
0,173,0
0,201,0
0,162,0
0,23,0
0,201,0
0,127,1
0,201,0
0,136,0
0,159,0
0,152,0
0,118,0
0,201,0
0,98,0
0,152,0
1,38,0
0,83,0
3,180,0
0,116,0
0,134,0
0,162,0
0,201,1
3,106,0
0,161,0
0,34,0
5,201,0
0,180,0
0,201,0
3,193,0
0,106,0
1,180,1
1,130,1
0,201,0
2,124,1
3,201,0
1,185,0
1,185,0
0,49,0
0,2,0
0,31,0
1,140,0
0,23,0
2,149,1
0,178,0
0,43,0
1,176,0
1,201,0
0,52,1
0,114,0
0,89,1
0,149,1
6,160,1
0,147,0
1,185,0
0,27,0
0,185,0
0,90,0
0,111,0
0,173,0
0,48,0
1,201,0
1,86,0
0,23,0
0,78,0
1,201,0
0,14,0
1,92,1
0,65,0
0,23,0
0,184,0
1,173,0
0,180,0
1,4,0
0,84,0
0,149,0
2,200,0
0,168,0
0,98,0
0,11,0
1,192,1
0,68,1
0,148,0
2,201,0
0,77,1
0,113,0
2,201,1
1,131,1
0,122,0
0,201,0
1,135,0
0,98,0
1,156,0
1,148,0
0,84,0
1,97,0
0,137,0
0,134,0
0,34,0
0,42,0
0,98,0
0,113,0
0,69,1
0,126,1
0,148,0
0,201,0
0,8,0
0,116,0
0,144,0
1,77,0
0,12,0
0,38,0
2,113,0
5,200,0
0,64,1
1,99,1
0,101,0
0,52,0
1,56,1
0,195,0
3,201,0
0,23,0
1,187,0
0,98,0
10,179,1
0,101,1
2,185,0
0,21,0
0,199,0
0,98,0
0,177,1
0,113,0
0,150,0
0,19,1
0,89,1
0,145,0
2,162,0
1,126,1
3,99,0
7,189,0
0,36,0
0,43,0
0,201,0
0,24,0
1,201,1
0,28,0
0,7,0
2,160,0
0,187,0
1,201,0
1,129,0
0,201,1
3,115,1
0,21,0
0,196,0
1,120,0
1,41,0
0,87,0
0,103,0
0,14,1
2,148,0
0,93,0
1,189,0
3,151,0
1,201,1
0,158,0
0,10,0
0,173,1
0,145,0
1,61,1
2,183,1
0,7,0
0,201,0
1,201,0
0,180,0
10,201,0
0,149,0
0,23,1
0,29,1
0,160,0
0,50,0
0,172,1
0,32,0
1,125,0
0,174,1
0,168,0
1,201,0
0,137,0
0,20,1
0,201,1
0,11,0
0,64,1
0,101,0
0,67,1
0,104,0
0,75,0
1,201,0
0,110,1
0,196,1
0,153,0
2,146,0
0,22,0
0,98,1
0,80,1
0,124,0
1,117,0
0,177,1
0,113,0
0,91,0
0,56,0
0,140,1
0,162,0
13,161,0
0,199,0
0,2,1
0,103,0
0,37,0
1,163,1
0,173,1
0,171,0
0,76,0
0,177,0
0,80,1
5,171,1
2,158,1
10,201,1
0,189,1
0,28,0
0,145,0
0,181,0
0,130,1
0,173,0
2,107,1
1,162,1
5,24,1
1,201,0
0,147,0
0,27,1
0,128,1
0,146,0
0,135,0
1,180,0
1,54,0
0,128,1
1,119,0
0,153,0
0,166,0
0,124,1
0,195,0
22,200,0
0,86,1
0,112,0
0,2,0
0,70,0
0,21,0
0,200,0
0,15,1
0,180,1
0,137,1
0,182,0
0,187,1
0,128,0
0,162,1
0,70,1
0,47,0
0,113,1
0,29,0
0,82,1
0,181,1
2,74,1
1,97,1
2,188,0
0,188,0
2,143,0
0,150,1
0,41,1
0,151,0
7,156,1
0,60,0
0,201,0
1,201,0
10,201,1
2,201,0
0,170,1
0,63,1
1,173,1
1,70,0
1,113,1
0,109,0
0,101,0
0,97,1
0,39,1
0,201,0
0,125,1
0,5,1
0,116,1
0,105,0
0,35,1
0,152,1
0,43,0
0,50,0
0,11,1
2,27,0
0,131,0
6,178,0
0,15,0
0,7,0
0,90,0
0,154,0
0,18,0
0,135,0
0,17,1
0,153,1
1,200,1
0,107,0
0,61,0
0,133,0
0,102,0
0,120,1
0,16,0
0,16,0
0,100,0
0,20,1
4,201,1
0,24,0
0,147,0
0,198,0
10,201,1
4,176,0
0,201,0
0,150,0
0,45,0
0,19,1
0,4,1
0,114,0
0,24,0
0,187,0
0,184,0
0,145,1
2,193,1
0,201,1
2,201,1
0,192,0
0,25,0
0,125,0
0,92,0
0,29,0
0,175,0
4,201,0
0,8,0
0,49,0
1,201,1
0,193,1
15,201,1
0,14,1
1,172,0
0,153,0
0,147,0
0,159,1
0,52,0
0,201,0
0,129,0
0,35,0
8,201,0
0,9,0
0,92,1
0,5,0
0,181,0
1,61,0
1,162,0
0,175,1
0,70,1
1,201,0
0,7,1
0,8,0
0,201,0
0,70,1
0,36,1
0,64,0
0,201,0
0,10,0
0,127,0
0,196,0
0,189,0
0,13,0
0,51,1
1,148,0
0,156,0
0,7,1
0,14,1
0,91,0
0,196,0
0,22,1
0,82,1
0,34,0
0,106,0
1,60,0
0,138,0
0,82,1
0,28,0
1,201,1
0,156,0
0,147,0
1,135,0
0,84,0
0,146,0
0,13,0
0,200,1
0,1,0
0,86,0
3,199,0
0,177,0
0,24,1
0,193,0
0,28,0
0,29,0
0,38,0
0,29,0
0,170,0
4,201,0
0,145,0
0,33,1
0,19,0
0,110,1
1,201,0
0,88,0
5,201,1
0,136,0
0,36,0
0,36,0
0,38,0
0,59,0
4,165,1
0,37,0
0,38,0
0,30,1
0,6,1
0,62,0
0,152,0
6,117,1
0,8,0
0,135,0
0,28,0
0,25,0
0,31,0
0,7,0
0,111,0
0,14,0
0,179,1
0,37,0
0,128,0
0,191,0
0,195,0
0,17,0
0,65,0
0,35,0
0,50,0
0,196,1
0,146,0
0,153,0
0,178,1
0,2,0
0,72,0
0,61,0
0,138,0
0,201,0
0,121,0
0,176,1
0,130,0
0,201,0
1,28,0
11,146,1
0,129,0
0,201,1
0,12,0
2,201,0
2,143,0
0,28,0
0,14,0
0,1,0
0,178,1
0,7,0
0,201,0
1,191,0
0,201,1
1,180,1
0,5,1
0,1,0
0,55,0
3,180,0
0,176,0
10,156,0
2,200,1
0,7,0
2,46,0
0,73,0
0,27,0
0,24,0
0,201,1
0,114,0
3,167,0
0,48,0
0,96,0
0,62,0
0,6,0
0,28,0
0,114,0
0,106,0
0,15,0
1,201,1
0,177,0
3,83,1
0,14,0
3,99,0
0,15,0
0,191,1
0,150,1
0,22,0
0,201,0
0,1,0
0,201,1
13,144,1
3,161,0
0,114,1
0,97,0
0,17,0
0,1,0
0,90,1
0,69,0
1,201,0
0,25,0
0,11,0
0,197,0
2,196,0
0,134,0
0,136,0
0,172,1
1,141,1
0,112,1
0,126,1
0,82,0
2,201,0
0,4,1
1,105,1
0,143,0
0,26,0
7,195,0
0,117,0
0,23,0
3,11,0
1,106,0
0,2,1
3,124,0
0,201,0
0,13,0
7,201,0
0,8,0
2,91,0
1,68,0
0,201,0
0,174,0
0,27,0
0,13,1
0,201,0
0,9,0
0,85,0
1,86,1
0,1,0
3,166,0
0,161,0
0,55,0
2,200,0
5,201,1
0,199,0
0,201,0
0,201,0
0,201,0
0,4,1
0,142,0
0,108,0
0,30,1
1,138,0
0,152,0
0,189,1
0,22,1
0,3,1
11,139,1
0,140,0
0,160,1
9,140,0
0,13,1
0,177,0
0,37,0
0,93,0
0,4,0
0,5,0
0,44,0
0,23,0
0,195,0
0,21,0
0,92,0
0,184,1
1,27,0
0,24,0
0,17,0
1,163,1
1,25,0
0,15,1
0,171,0
0,22,1
0,8,0
0,17,1
0,156,0
0,20,0
0,71,0
2,77,1
1,30,0
7,135,0
0,15,1
0,153,0
0,174,0
0,24,0
0,90,0
0,19,0
0,1,0
1,96,0
0,180,0
0,99,0
0,7,0
0,22,0
0,27,0
0,15,0
0,6,0
0,201,0
0,50,0
0,82,0
0,2,0
0,90,0
0,65,0
0,73,0
0,3,0
0,8,0
0,99,0
0,22,0
0,11,1
0,3,0
0,52,0
0,132,1
0,47,0
0,12,0
0,3,1
0,28,0
0,14,0
0,124,0
0,8,0
0,56,1
0,7,0
0,8,0
0,71,1
1,92,1
0,36,0
0,126,0
0,29,1
0,7,0
0,6,1
0,10,0
0,29,0
0,201,0
0,148,0
0,67,1
0,171,0
0,201,0
0,181,0
0,6,0
1,184,0
0,184,0
0,8,1
0,152,0
0,6,0
0,100,0
0,20,0
0,51,0
0,10,0
0,116,1
0,193,0
0,19,0
0,201,0
0,201,0
0,38,1
0,192,0
0,29,0
0,105,0
0,58,0
0,7,0
0,78,1
0,46,0
0,82,0
0,201,0
0,14,0
0,1,0
0,28,0
0,192,0
0,14,0
0,106,0
0,16,0
0,59,1
0,35,0
0,201,0
0,179,0
0,115,0
0,30,0
0,201,0
0,84,0
0,7,0
0,15,0
0,178,1
0,28,0
0,186,0
0,1,0
0,52,0
0,149,0
0,37,0
0,201,0
0,69,0
0,3,0
1,171,0
0,196,0
0,64,1
5,180,0
0,3,0
0,13,0
0,29,0
1,201,0
0,135,0
0,4,0
0,195,0
3,112,0
4,201,1
0,24,0
0,82,0
1,201,0
0,122,0
0,5,0
1,92,0
0,18,0
0,122,0
0,198,0
0,20,1
0,138,0
0,60,0
5,132,1
0,86,0
0,53,0
0,143,0
0,83,0
0,179,0
0,14,0
0,201,0
0,115,0
0,70,0
5,201,0
0,8,0
0,17,0
0,20,0
1,154,1
0,179,0
0,32,0
0,35,0
1,193,0
0,141,1
0,57,0
0,114,0
0,173,0
0,99,0
0,187,0
0,196,1
0,197,0
0,201,0
0,201,0
1,201,0
0,6,0
0,139,0
0,122,0
0,200,1
0,183,0
0,151,0
0,139,0
0,200,0
0,1,0
2,189,0
0,153,1
0,176,0
0,147,0
0,201,1
0,109,0
0,197,0
0,152,1
0,187,0
0,16,0
0,201,0
0,117,0
0,201,0
0,72,1
0,32,0
0,68,1
1,201,0
0,78,1
0,129,0
0,15,0
0,62,0
0,162,0
2,201,0
0,24,1
0,66,0
0,178,0
0,15,0
0,1,0
0,25,1
0,201,1
0,24,0
0,5,0
0,11,0
0,201,0
0,63,0
0,8,1
0,146,0
0,9,0
0,78,0
0,4,1
0,136,0
0,201,0
0,16,0
